Statement Analysis
Query,Full Table Scan,Executed (#),Errors (#),Warnings (#),Total Time,Max Time,Avg Time,Rows Sent (#),Avg. Rows Sent (#),Rows Scanned (#),Avg. Rows Scanned (#),Temp. Tables (#),Temp. Disk Tables (#),Rows Sorted (#),Sort Merge Passes (#),Digest
"EXECUTE `stmt` USING @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @?",,262,134,0,948542.67,14818.44,3620.39,0,0.0,0,0.0,0,0,0,0,54cbc2ffcebf9f03ccc048e6e8f9aaeaa8c89dc100db9531743fa8098607414b
SHOW FULL FIELDS FROM `icpsr_03088` . `adss_data`,,31,0,0,883879.01,54822.54,28512.22,30721,991.0,123039,3969.0,31,0,30721,0,e700b796090a27d30108904ac582684ebbba62064b7d7e3adc7dbc675c24f289
"EXECUTE `stmt` USING @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @? , @?",,211,105,0,825951.94,20015.70,3914.46,0,0.0,0,0.0,0,0,0,0,54cbc2ffcebf9f03ccc048e6e8f9aaeaa8c89dc100db9531743fa8098607414b
CREATE INDEX `idx_c_custkey` ON `customer` ( `c_custkey` ),,1,0,0,756778.80,756778.80,756778.80,0,0.0,0,0.0,0,0,0,0,3c9de5815afe9e6ee1bc14ce0273f6c7365dab0818c5c4d6cbd048ce2efaa599
SHOW SESSION VARIABLES LIKE ?,*,123,0,0,567648.93,19698.37,4615.03,123,1.0,123,1.0,123,0,0,0,6935f3922a42d8845977364d3d83d2ad4e11a53295dfeca9d0d08403bff33250
COMMIT,,14,0,0,529684.00,527372.77,37834.57,0,0.0,0,0.0,0,0,0,0,f2b9be5f0f32ca7507e4ddf133cd2fad0993a1c26fde9caa6f067b1af2b7603c
"SELECT `c` . `COLUMN_NAME` NAME , `COLUMN_TYPE` TYPE , `COLUMN_COMMENT` COMMENT , `COLUMN_KEY` `key` , `IS_NULLABLE` `nullable` , `CHARACTER_MAXIMUM_LENGTH` `maximum_length` , `COLUMN_DEFAULT` `defaultValue` , `INSTR` ( `COLUMN_TYPE` , ? ) > ? ? , `INSTR` ( `COLUMN_TYPE` , ? ) > ? ? , `EXTRA` `extra` , `COLLATION_NAME` `collation_name` , `CHARACTER_SET_NAME` `character_set_name` FROM `information_schema` . `columns` `c` WHERE `c` . `table_schema` = ? AND `c` . `table_name` = ? ORDER BY `c` . `ORDINAL_POSITION`",,40,0,0,519307.58,34338.13,12982.69,25062,627.0,100445,2511.0,40,0,25062,0,f7a7fda8e631680f180611d1123d528f828e8061bd6cd9be71bfc33d09ac6535
PURGE BINARY LOGS BEFORE ?,,3793,0,0,460274.64,92902.38,121.35,0,0.0,0,0.0,0,0,0,0,ca8b4c24f9f15f1ada326acd5e4c0e43a80abef805a6f9865a5a27fc1457f25f
SELECT * FROM `sys` . `statements_with_full_table_scans`,*,1,0,0,450518.76,450518.76,450518.76,58,58.0,574,574.0,0,0,58,0,b41c0a68ab6d70f8b189081a2f6b985613bac905784b6ed1d2ca895e0e9a43e0
COMMIT,,5,0,0,446191.25,445775.95,89238.25,0,0.0,0,0.0,0,0,0,0,f2b9be5f0f32ca7507e4ddf133cd2fad0993a1c26fde9caa6f067b1af2b7603c
"SELECT COUNT ( * ) FROM `icpsr_03088` . `adss_data_part3` LIMIT ?, ...",,1,0,0,444163.51,444163.51,444163.51,1,1.0,0,0.0,0,0,0,0,133aafc1a1734ea37c2e7e4d42c6caede5806d8d73ddcc1a2f6a81ff004264f9
"SELECT * FROM `cdcyrbss` . `national2021` LIMIT ?, ...",*,7,0,0,400501.72,212679.34,57214.53,3738,534.0,3738,534.0,0,0,0,0,653aca2f0a47773b8acce2a3a5a0b506612c9bd5e1cd3055c198664df88c4fcc
SHOW FULL FIELDS FROM `dawn` . `data`,,37,0,0,377132.19,29919.93,10192.76,10559,285.0,42421,1147.0,37,0,10559,0,b94b5d61b55bf152ef8f9baa525713061d1f0ab5ea3990a177b97f664bb0dd06
SHOW SESSION VARIABLES LIKE ?,*,90,0,0,364056.47,8783.70,4045.07,90,1.0,90,1.0,90,0,0,0,6935f3922a42d8845977364d3d83d2ad4e11a53295dfeca9d0d08403bff33250
SHOW SESSION STATUS LIKE ?,*,187,0,0,344012.61,5967.29,1839.64,187,1.0,187,1.0,187,0,0,0,a6d9f012d38e1935c116c75354d30af403211c7d7a130d43e103838581b78717
"CREATE TABLE IF NOT EXISTS `adss_data` ( `caseid` INTEGER , `facid` INTEGER , `outcode` INTEGER , `a_1` INTEGER , `a_2` INTEGER , `a_3` INTEGER , `a_4a` INTEGER , `a_4b` INTEGER , `a_4c` INTEGER , `a_5a` INTEGER , `a_5b` INTEGER , `a_5c` INTEGER , `a_5d` INTEGER , `a_5e` INTEGER , `a_5f` INTEGER , `a_5g` INTEGER , `a_5h` INTEGER , `a_5i` INTEGER , `a_5j` INTEGER , `a_5k` INTEGER , `a_5l` INTEGER , `a_5m` INTEGER , `a_5n` INTEGER , `a_5o` INTEGER , `a_6` INTEGER , `a_7a` INTEGER , `a_7b` INTEGER , `a_7c` INTEGER , `a_7d` INTEGER , `a_7e` INTEGER , `a_7f` INTEGER , `a_7g` INTEGER , `a_7h` INTEGER , `a_8` INTEGER , `a_9box` INTEGER , `a_9a1` INTEGER , `a_9b1` INTEGER , `a_9c1` INTEGER , `a_9d1` INTEGER , `a_9e1` INTEGER , `a_9f1` INTEGER , `a_9g1` INTEGER , `a_9h1` INTEGER , `a_9i1` INTEGER , `a_9a2` INTEGER , `a_9b2` INTEGER , `a_9c2` INTEGER , `a_9d2` INTEGER , `a_9e2` INTEGER , `a_9f2` INTEGER , `a_9g2` INTEGER , `a_9h2` INTEGER , `a_9i2` INTEGER , `a_9a3` INTEGER , `a_9b3` INTEGER , `a_9c3` INTEGER , `a_9d3` INTEGER , `a_9e3` INTEGER , `a_9f3` INTEGER , `a_9g3` INTEGER , `a_9h3` INTEGER , `a_9i3` INTEGER , `a_9a4` INTEGER , `a_9b4` INTEGER , `a_9c4` INTEGER , `a_9d4` INTEGER , `a_9e4` INTEGER , `a_9f4` INTEGER , `a_9g4` INTEGER , `a_9h4` INTEGER , `a_9i4` INTEGER , `a_10` INTEGER , `a_11` INTEGER , `a_13a` INTEGER , `a_13b` INTEGER , `a_13c` INTEGER , `a_13d` INTEGER , `a_13e` INTEGER , `a_14a` INTEGER ,",,1,0,0,336108.20,336108.20,336108.20,0,0.0,0,0.0,0,0,0,0,02900dd4f29d0ada1931de3a407888c1836559a571ed44da4cfa97486b3b95fb
"CREATE TABLE `ndtms` ( `ReportingPeriod` VARCHARACTER (?) , `Area` VARCHARACTER (?) , `DrugGroup` VARCHARACTER (?) , `Gender` VARCHARACTER (?) , `AgeGroup` VARCHARACTER (?) , `Num_InTreatment` INTEGER , `OpiateCrackCocaine` INTEGER , `OpiateNotCrackCocaine` INTEGER , `CrackCocaineNotOpiate` INTEGER , `Cannabis` INTEGER , `Cocaine` INTEGER , `Benzodiazepine` INTEGER , `AmphetaminesNotEcstasy` INTEGER , `Ecstasy` INTEGER , `Mephedrone` INTEGER , `NPS` INTEGER , `Hallucinogen` INTEGER , `Alcohol` INTEGER , `Other_Substance` INTEGER , `ClubDrug_Ecstasy` INTEGER , `ClubDrug_Ketamine` INTEGER , `ClubDrug_GHBGBL` INTEGER , `ClubDrug_Methamphetamine` INTEGER , `ClubDrug_Mephedrone` INTEGER , `ClubDrug_NPS` INTEGER , `WaitsFirst_3WeeksUnder` INTEGER , `WaitsFirst_3To6Weeks` INTEGER , `WaitsFirst_Over6Weeks` INTEGER , `Exits_SuccessfulCompletion` INTEGER , `Exits_Died` INTEGER , `Exits_DroppedOut` INTEGER , `Exits_MovedAway` INTEGER , `Exits_NoAppropriateTx` INTEGER , `Exits_NotKnown` INTEGER , `Exits_Other` INTEGER , `Exits_Prison` INTEGER , `Exits_TransferredNotCustody` INTEGER , `Exits_TransferredInCustody` INTEGER , `Exits_ReferredOn` INTEGER , `Exits_TreatmentDeclined` INTEGER , `Exits_TreatmentWithdrawn` INTEGER , `Exits_Inconsistent` INTEGER ,",,1,0,0,306041.87,306041.87,306041.87,0,0.0,0,0.0,0,0,0,0,2697f50dca0bb6a4deac130a9ba69fe87a0fb17eded9a09329163e4f4d14caad
ALTER TABLE `icpsr_03088` . `adss_data` RENAME TO `icpsr_03088` . `adss_data_part3`,,1,0,0,272929.64,272929.64,272929.64,0,0.0,0,0.0,0,0,0,0,ea604fe0610051f11bf84cab861d6ca5f7b33c94d13faf13b6e9611cbfb55c76
SHOW CHARACTER SET WHERE CHARSET = ?,,219,0,0,272704.90,53573.75,1245.23,219,1.0,219,1.0,0,0,0,0,403e20a54ba36e995c8a9423fc5504db82d64dfefb3c9f6e0b4d3d66372ede9f
SHOW FULL FIELDS FROM `cdcyrbss` . `national2021`,,40,0,0,256258.61,42723.04,6406.47,4370,109.0,17680,442.0,40,0,4370,0,b4fdc70f91479fbbcdf1d2333f861897944001a488f5c00fec58956f3838cad7
DROP TABLE `icpsr_03088` . `adss_data_part3`,,1,0,0,196863.90,196863.90,196863.90,0,0.0,0,0.0,0,0,0,0,5fb6fbdbedb2956b00938ca005ba710de7792543e187717e2dc6018b37899ac0
SELECT * FROM `performance_schema` . `replication_applier_status_by_worker` WHERE `LAST_ERROR_NUMBER` != ?,*,622,0,0,194793.61,3656.55,313.17,0,0.0,0,0.0,0,0,0,0,da23c3f199e3beb6c16660a1341f7a598d972e179f1e3533ce6e5fa5e0beba29
SET GLOBAL `slow_query_log_file` = `/app/serverlogs/slowlogs/mysql-slow-mysqldchen-2025022620.log`,,1,0,0,185753.26,185753.26,185753.26,0,0.0,0,0.0,0,0,0,0,aa81136a624e4b0589eccb46e28684c5ca3af58a3007988847f8be64ed1c2be7
SHOW PROCEDURE STATUS WHERE `Db` = ?,,89,0,0,182537.48,27062.39,2050.98,52,1.0,490,6.0,0,0,52,0,cbc301da493d6b465340bd346910730ee04459290e7cb9d392d71de4e8fea677
SET GLOBAL `slow_query_log_file` = `/app/serverlogs/slowlogs/mysql-slow-mysqldchen-2025030420.log`,,1,0,0,181023.30,181023.30,181023.30,0,0.0,0,0.0,0,0,0,0,146c105a5b98ebb345cc723c0d4d77b4b2916860d470a10c286130fa55eae436
SET GLOBAL `slow_query_log_file` = `/app/serverlogs/slowlogs/mysql-slow-mysqldchen-2025022120.log`,,1,0,0,179621.92,179621.92,179621.92,0,0.0,0,0.0,0,0,0,0,21590e705bf8c4aaf9e6c31a0ec9a3bf8925197ec27b96e16bce91eb4f5c7ff7
"CREATE TABLE `dawn` . `data` ( `CASEID` INTEGER , `METRO` INTEGER , `STRATA` INTEGER , `PSU` INTEGER , `REPLICATE` INTEGER , `CASEWGT` TEXT , `PSUFRAME` INTEGER , `AGECAT` INTEGER , `SEX` INTEGER , `RACE` INTEGER , `YEAR` INTEGER , `QUARTER` INTEGER , `DAYPART` INTEGER , `NUMSUBS` INTEGER , `DRUGID_1` INTEGER , `CATID_1_1` INTEGER , `CATID_2_1` INTEGER , `CATID_3_1` INTEGER , `ROUTE_1` INTEGER , `TOXTEST_1` INTEGER , `sdled_1_1` INTEGER , `sdled_2_1` INTEGER , `sdled_3_1` FLOAT8 , `sdled_4_1` FLOAT8 , `sdled_5_1` INTEGER , `sdled_6_1` INTEGER , `DRUGID_2` INTEGER , `CATID_1_2` INTEGER , `CATID_2_2` INTEGER , `CATID_3_2` INTEGER , `ROUTE_2` INTEGER , `TOXTEST_2` INTEGER , `sdled_1_2` INTEGER , `sdled_2_2` FLOAT8 , `sdled_3_2` INTEGER , `sdled_4_2` FLOAT8 , `sdled_5_2` INTEGER , `sdled_6_2` INTEGER , `DRUGID_3` INTEGER , `CATID_1_3` INTEGER , `CATID_2_3` INTEGER , `CATID_3_3` INTEGER , `ROUTE_3` INTEGER , `TOXTEST_3` INTEGER , `sdled_1_3` INTEGER , `sdled_2_3` FLOAT8 , `sdled_3_3` INTEGER , `sdled_4_3` INTEGER , `sdled_5_3` INTEGER , `sdled_6_3` INTEGER , `DRUGID_4` INTEGER , `CATID_1_4` INTEGER , `CATID_2_4` INTEGER , `CATID_3_4` INTEGER , `ROUTE_4` INTEGER , `TOXTEST_4` INTEGER , `sdled_1_4` INTEGER , `sdled_2_4` INTEGER , `sdled_3_4` INTEGER , `sdled_4_4` INTEGER , `sdled_5_4` INTEGER , `sdled_6_4` INTEGER ,",,1,0,0,177086.83,177086.83,177086.83,0,0.0,0,0.0,0,0,0,0,07780d608ce9271a66fe66dc95a918703c0875d857ac24e5bd4bd2bf7189bd01
"SELECT @@`datadir` `datadir` , `sd` . `path` FROM `information_schema` . `INNODB_TABLES` `st` JOIN `information_schema` . `innodb_datafiles` `sd` USING ( `space` ) WHERE `st` . `name` = ?",*,2,0,0,171308.72,169278.99,85654.36,2,1.0,136,68.0,2,0,0,0,80d38ef0cbdc2340d4c76bf8acc41e1e09e087baafde949f18043a226a27f28f
SET NAMES `utf8`,,220,0,220,163723.73,6788.86,744.20,0,0.0,0,0.0,0,0,0,0,13fcb9bac24560527e210ae59823ea393edcac9d7989014c15a54d4e64b2e3ea
SET GLOBAL `slow_query_log_file` = `/app/serverlogs/slowlogs/mysql-slow-mysqldchen-2025022520.log`,,1,0,0,163599.06,163599.06,163599.06,0,0.0,0,0.0,0,0,0,0,ea208c101afd81f3561d1f39d9e9267feef7d5ce32100dbc290cfa0bbf426c57
SET GLOBAL `slow_query_log_file` = `/app/serverlogs/slowlogs/mysql-slow-mysqldchen-2025022220.log`,,1,0,0,163489.90,163489.90,163489.90,0,0.0,0,0.0,0,0,0,0,b790591d6c1ccf59e7d5540fa407290922c7f791149a57743382f6f60d6d5682
SET GLOBAL `slow_query_log_file` = `/app/serverlogs/slowlogs/mysql-slow-mysqldchen-2025022420.log`,,1,0,0,163445.20,163445.20,163445.20,0,0.0,0,0.0,0,0,0,0,b86a8d86643b1af654213e6eac15eae4f06b35d30b9ed366ffdc4d40ab528dea
"CREATE TABLE IF NOT EXISTS `dataset` ( `id` INTEGER AUTO_INCREMENT PRIMARY KEY , `col1` VARCHARACTER (?) , `col2` INTEGER , `col3` FLOAT4 , `col4` DATE )",,3,0,2,160909.76,144081.02,53636.59,0,0.0,0,0.0,0,0,0,0,0cd4caac146cc73256d3d5e4300ad241b976dbf65684f7fdd341e28bffedce0a
SET GLOBAL `slow_query_log_file` = `/app/serverlogs/slowlogs/mysql-slow-mysqldchen-2025030220.log`,,1,0,0,159626.14,159626.14,159626.14,0,0.0,0,0.0,0,0,0,0,e2eaa51bfcddf0b987301e33d2072bed465b165f3637693b7c2ade7972819be6
SET GLOBAL `slow_query_log_file` = `/app/serverlogs/slowlogs/mysql-slow-mysqldchen-2025030320.log`,,1,0,0,158732.37,158732.37,158732.37,0,0.0,0,0.0,0,0,0,0,c9288461724f4da9efccb32818dcf4cc6ba441d815e6f3ab7d25fe83e91eb0cd
SET GLOBAL `slow_query_log_file` = `/app/serverlogs/slowlogs/mysql-slow-mysqldchen-2025022720.log`,,1,0,0,156689.24,156689.24,156689.24,0,0.0,0,0.0,0,0,0,0,a1fa2f3d2e0d25f93eb73357332bb2e07fbeab2b7c2794c14401acb134666b6c
SET GLOBAL `slow_query_log_file` = `/app/serverlogs/slowlogs/mysql-slow-mysqldchen-2025022820.log`,,1,0,0,147152.73,147152.73,147152.73,0,0.0,0,0.0,0,0,0,0,1063908be8a2c375cca39bd7dbfab0cee121f09aa8a1435908662b129836de12
SET GLOBAL `slow_query_log_file` = `/app/serverlogs/slowlogs/mysql-slow-mysqldchen-2025022320.log`,,1,0,0,146884.35,146884.35,146884.35,0,0.0,0,0.0,0,0,0,0,dcaa7fc9ebdbcee78a313b67ae12568c74f2822efa58f13cbb1355bb57078c08
DROP SCHEMA `londonndtms`,,1,0,0,142427.92,142427.92,142427.92,0,0.0,0,0.0,0,0,0,0,c9391d0ac78a6e1d2d10665e6fa58e06affc2c6bf8e6e81616fae691d225d49b
SET GLOBAL `slow_query_log_file` = `/app/serverlogs/slowlogs/mysql-slow-mysqldchen-2025030120.log`,,1,0,0,136943.75,136943.75,136943.75,0,0.0,0,0.0,0,0,0,0,bc9516aece57f20e9e4105fa9cf831d6daad311010b9617fc2b05916fcc795ba
SELECT * FROM `sys` . `x$statements_with_runtimes_in_95th_percentile`,*,1,0,0,135505.46,135505.46,135505.46,26,26.0,1499,1499.0,6,0,52,0,d26ebe100c5f64cbc8cf0cf089de3554565d3bf1811142f63ab36239e8f33940
SET GLOBAL `slow_query_log_file` = `/app/serverlogs/slowlogs/mysql-slow-mysqldchen-2025030520.log`,,1,0,0,133390.06,133390.06,133390.06,0,0.0,0,0.0,0,0,0,0,c8d1ec16af4d69fba13ab3aae10057a0a71cd52aaf98baa7a95d52f64d136b3b
SHOW FUNCTION STATUS WHERE `Db` = ?,,89,0,0,127851.80,14147.65,1436.54,44,0.0,530,6.0,0,0,44,0,1023723dae12e40234921687402e70f60d7a8b233a3da73a4e46b38e0feb23a9
"CREATE TABLE `cdcyrbss` . `national2021` ( `site` TEXT , `raceeth` INTEGER , `q6orig` INTEGER , `q7orig` TEXT , `record` INTEGER , `orig_rec` TEXT , `q1` INTEGER , `q2` INTEGER , `q3` TEXT , `q4` INTEGER , `q5` TEXT , `q6` TEXT , `q7` TEXT , `q8` INTEGER , `q9` INTEGER , `q10` INTEGER , `q11` INTEGER , `q12` INTEGER , `q13` INTEGER , `q14` INTEGER , `q15` INTEGER , `q16` INTEGER , `q17` INTEGER , `q18` INTEGER , `q19` INTEGER , `q20` INTEGER , `q21` TEXT , `q22` TEXT , `q23` INTEGER , `q24` INTEGER , `q25` INTEGER , `q26` INTEGER , `q27` INTEGER , `q28` INTEGER , `q29` INTEGER , `q30` TEXT , `q31` TEXT , `q32` INTEGER , `q33` TEXT , `q34` TEXT , `q35` TEXT , `q36` TEXT , `q37` INTEGER , `q38` INTEGER , `q39` INTEGER , `q40` INTEGER , `q41` TEXT , `q42` TEXT , `q43` TEXT , `q44` TEXT , `q45` INTEGER , `q46` INTEGER , `q47` INTEGER , `q48` INTEGER , `q49` INTEGER , `q50` INTEGER , `q51` INTEGER , `q52` INTEGER , `q53` INTEGER , `q54` INTEGER , `q55` INTEGER , `q56` INTEGER , `q57` INTEGER , `q58` INTEGER , `q59` INTEGER , `q60` INTEGER , `q61` INTEGER , `q62` INTEGER , `q63` TEXT , `q64` TEXT , `q65` INTEGER , `q66` INTEGER , `q67` INTEGER , `q68` TEXT , `q69` INTEGER , `q70` INTEGER , `q71` INTEGER , `q72` INTEGER , `q73` INTEGER , `q74` INTEGER , `q75` INTEGER , `q76` INTEGER , `q77` INTEGER , `q78` INTEGER , `q79` INTEGER , `q80` INTEGER , `q81` INTEGER , `q82` INTEGER , `q83` INTEGER",,1,0,0,109766.97,109766.97,109766.97,0,0.0,0,0.0,0,0,0,0,54f3c97e65e87298a352351d8de1c4131c34f2119821e77c374225e04486f410
SET `autocommit` = ?,,227,0,0,98257.26,2086.16,432.85,0,0.0,0,0.0,0,0,0,0,158bfe3d4b4b0a372a4acdb38affe2cb4f6b3cb21a9af0ea9fad9a9a083ac18a
SHOW CREATE TABLE `icpsr_03088` . `adss_data`,,3,0,0,88462.64,70456.01,29487.54,0,0.0,0,0.0,0,0,0,0,81c8eabc0c1120b20ba4cc0b8f7e35707dc4f3e163ff6c188353c772d852a0a7
SHOW CREATE TABLE `dawn` . `data`,,3,0,0,87686.27,84928.30,29228.76,0,0.0,0,0.0,0,0,0,0,c159d730ffe4f0782416ca14d67f808c8bb4401f731ea221380dd2f824b8578b
"CREATE TABLE `cdcyrbss` . `xxhq` ( `site` TEXT , `raceeth` INTEGER , `q6orig` INTEGER , `q7orig` TEXT , `record` INTEGER , `orig_rec` TEXT , `q1` INTEGER , `q2` INTEGER , `q3` TEXT , `q4` INTEGER , `q5` TEXT , `q6` TEXT , `q7` TEXT , `q8` INTEGER , `q9` INTEGER , `q10` INTEGER , `q11` INTEGER , `q12` INTEGER , `q13` INTEGER , `q14` INTEGER , `q15` INTEGER , `q16` INTEGER , `q17` INTEGER , `q18` INTEGER , `q19` INTEGER , `q20` INTEGER , `q21` TEXT , `q22` TEXT , `q23` INTEGER , `q24` INTEGER , `q25` INTEGER , `q26` INTEGER , `q27` INTEGER , `q28` INTEGER , `q29` INTEGER , `q30` TEXT , `q31` TEXT , `q32` INTEGER , `q33` TEXT , `q34` TEXT , `q35` TEXT , `q36` TEXT , `q37` INTEGER , `q38` INTEGER , `q39` INTEGER , `q40` INTEGER , `q41` TEXT , `q42` TEXT , `q43` TEXT , `q44` TEXT , `q45` INTEGER , `q46` INTEGER , `q47` INTEGER , `q48` INTEGER , `q49` INTEGER , `q50` INTEGER , `q51` INTEGER , `q52` INTEGER , `q53` INTEGER , `q54` INTEGER , `q55` INTEGER , `q56` INTEGER , `q57` INTEGER , `q58` INTEGER , `q59` INTEGER , `q60` INTEGER , `q61` INTEGER , `q62` INTEGER , `q63` TEXT , `q64` TEXT , `q65` INTEGER , `q66` INTEGER , `q67` INTEGER , `q68` TEXT , `q69` INTEGER , `q70` INTEGER , `q71` INTEGER , `q72` INTEGER , `q73` INTEGER , `q74` INTEGER , `q75` INTEGER , `q76` INTEGER , `q77` INTEGER , `q78` INTEGER , `q79` INTEGER , `q80` INTEGER , `q81` INTEGER , `q82` INTEGER , `q83` INTEGER , `q84`",,1,0,0,85969.81,85969.81,85969.81,0,0.0,0,0.0,0,0,0,0,3c9598581194c78995f6b1aef37c88590587fa8ede4ee921d031f374157aeace
DROP TABLE `adss_data_part4`,,2,1,0,81011.31,80055.40,40505.66,0,0.0,0,0.0,0,0,0,0,5080c47d125cc842b66380769a5e685e7cdeb52e0edcb381cb21ca904d0978c2
SHOW PROCEDURE STATUS WHERE `Db` = ?,,5,0,0,80962.84,71519.60,16192.57,0,0.0,10,2.0,0,0,0,0,cbc301da493d6b465340bd346910730ee04459290e7cb9d392d71de4e8fea677
SHOW COLLATION,*,8,0,0,78884.29,16980.23,9860.53,2288,286.0,4904,613.0,8,0,2288,0,f547ffac4814e362ef0421e4a45a6137d4be89fbb5ba419e1813d13647bcb53a
SHOW SCHEMAS,*,31,0,0,77898.09,34691.07,2512.84,262,8.0,1079,35.0,0,0,262,0,dbea8921b559b8cdd4976d57d70304daa8a242fbbfe6df94427006b54ead6b0f
DROP TABLE `icpsr_03088` . `dataset`,,1,0,0,76132.76,76132.76,76132.76,0,0.0,0,0.0,0,0,0,0,a72f5a49fc242ab0df76e4e69837ceb7591bda7c9925222325834474986cad53
"CREATE TABLE IF NOT EXISTS `national2021` ( `site` TEXT , `raceeth` FLOAT4 , `q6orig` TEXT , `q7orig` TEXT , `record` INTEGER , `orig_rec` FLOAT4 , `q1` FLOAT4 , `q2` FLOAT4 , `q3` FLOAT4 , `q4` FLOAT4 , `q5` TEXT , `q6` FLOAT4 , `q7` FLOAT4 , `q8` FLOAT4 , `q9` FLOAT4 , `q10` FLOAT4 , `q11` FLOAT4 , `q12` FLOAT4 , `q13` FLOAT4 , `q14` FLOAT4 , `q15` FLOAT4 , `q16` FLOAT4 , `q17` FLOAT4 , `q18` FLOAT4 , `q19` FLOAT4 , `q20` FLOAT4 , `q21` FLOAT4 , `q22` FLOAT4 , `q23` FLOAT4 , `q24` FLOAT4 , `q25` FLOAT4 , `q26` FLOAT4 , `q27` FLOAT4 , `q28` FLOAT4 , `q29` FLOAT4 , `q30` FLOAT4 , `q31` FLOAT4 , `q32` FLOAT4 , `q33` FLOAT4 , `q34` FLOAT4 , `q35` FLOAT4 , `q36` FLOAT4 , `q37` FLOAT4 , `q38` FLOAT4 , `q39` FLOAT4 , `q40` FLOAT4 , `q41` FLOAT4 , `q42` FLOAT4 , `q43` FLOAT4 , `q44` FLOAT4 , `q45` FLOAT4 , `q46` FLOAT4 , `q47` FLOAT4 , `q48` FLOAT4 , `q49` FLOAT4 , `q50` FLOAT4 , `q51` FLOAT4 , `q52` FLOAT4 , `q53` FLOAT4 , `q54` FLOAT4 , `q55` FLOAT4 , `q56` FLOAT4 , `q57` FLOAT4 , `q58` FLOAT4 , `q59` FLOAT4 , `q60` FLOAT4 , `q61` FLOAT4 , `q62` FLOAT4 , `q63` FLOAT4 , `q64` FLOAT4 , `q65` FLOAT4 , `q66` FLOAT4 , `q67` FLOAT4 , `q68` FLOAT4 , `q69` FLOAT4 , `q70` FLOAT4 , `q71` FLOAT4 , `q72` FLOAT4 , `q73` FLOAT4 , `q74` FLOAT4 , `q75` FLOAT4 , `q76` FLOAT4 , `q77` FLOAT4 , `q78` FLOAT4 , `q79` FLOAT4 , `q80` FLOAT4 , `q81` FLOAT4 , `q82` FLOAT4 , `q83` FLOAT4 , `q84`",,2,0,1,74231.25,67394.19,37115.63,0,0.0,0,0.0,0,0,0,0,52375f9c758729ed0266661516664569422b4512ca3caa923a39ffef864f954b
SHOW FULL TABLES FROM `icpsr_03088`,,28,0,0,73236.91,10858.46,2615.60,28,1.0,167,6.0,0,0,28,0,068888de14672921d12a36d4f9c1eceee611cf4a134d72c0d4c8a2426865b4b7
SHOW SCHEMAS,*,9,0,0,71625.11,49706.19,7958.35,61,7.0,253,28.0,0,0,61,0,dbea8921b559b8cdd4976d57d70304daa8a242fbbfe6df94427006b54ead6b0f
DROP TABLE `cdcyrbss` . `xxhq`,,1,0,0,70978.30,70978.30,70978.30,0,0.0,0,0.0,0,0,0,0,96f23f095f2668799f2ac18bf7b5e659bb29ace204b2ccc0d892352cbfea1979
"SELECT COUNT ( * ) FROM `dawn` . `data` LIMIT ?, ...",,1,0,0,70330.32,70330.32,70330.32,1,1.0,0,0.0,0,0,0,0,d7c29dd5e82133b88f99b23cd59ba36c1a4865771caa46f35ba735df2fab92d8
SHOW CREATE TABLE `icpsr_03088` . `adss_data_part3`,,2,0,0,67393.17,57562.44,33696.58,0,0.0,0,0.0,0,0,0,0,75b3dfb5597bce0a81c9a50a04126611860d27f456026546c7c7699388f4cef2
SHOW FULL TABLES FROM `tpch`,,2,0,0,65813.02,48680.18,32906.51,16,8.0,52,26.0,0,0,16,0,3fe22336043442ccf8af87a0f51ed22e9fabf88b215260d52273ecd62436cf05
SHOW INDEXES FROM `dawn` . `data`,,16,0,0,64574.79,19039.46,4035.92,16,1.0,4725,295.0,16,0,16,0,cd130afdb6ad65fdbd6dbebe46c2584ea053509f88fb47e7acd8859e5744bad2
SHOW INDEXES FROM `icpsr_03088` . `adss_data`,,7,0,0,62322.59,34335.60,8903.23,14,2.0,7026,1004.0,7,0,14,0,fc3351fdb79ed953d46c305d6f3ed04017ac2d2333977056cdde013e77f281b9
